Date,month,year,Local Site Name,County,mean_latitude,mean_longitude,Ozone,PM 2.5
2024-01-15,1,2024,Millbrook School,Wake,35.856111,-78.574167,23.0,28.0
2024-01-15,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,24.0
2024-01-15,1,2024,Rockwell,Rowan,35.551868,-80.395039,19.0,43.0
2024-01-15,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,30.0
2024-01-16,1,2024,Bryson City,Swain,35.434767,-83.442133,,14.0
2024-01-16,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,34.5
2024-01-16,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,33.0
2024-01-16,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,54.0
2024-01-16,1,2024,Frying Pan Mountain,Haywood,35.379167,-82.7925,,10.0
2024-01-16,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,31.0,47.0
2024-01-16,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,29.5
2024-01-16,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,31.0
2024-01-16,1,2024,Linville Falls,Avery,35.972347,-81.933072,,17.0
2024-01-16,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,39.0
2024-01-16,1,2024,Millbrook School,Wake,35.856111,-78.574167,29.0,38.0
2024-01-16,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,29.0
2024-01-16,1,2024,Rockwell,Rowan,35.551868,-80.395039,30.0,34.0
2024-01-16,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,32.0
2024-01-17,1,2024,Bryson City,Swain,35.434767,-83.442133,,12.0
2024-01-17,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,36.0
2024-01-17,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,40.0
2024-01-17,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,55.0
2024-01-17,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,30.0,31.0
2024-01-17,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,26.0
2024-01-17,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,19.0
2024-01-17,1,2024,Millbrook School,Wake,35.856111,-78.574167,31.0,29.0
2024-01-17,1,2024,Old High School,Swain,35.498711,-83.310242,,13.0
2024-01-17,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,20.0
2024-01-17,1,2024,Rockwell,Rowan,35.551868,-80.395039,31.0,24.0
2024-01-17,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,22.0
2024-01-18,1,2024,Bryson City,Swain,35.434767,-83.442133,,32.0
2024-01-18,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,40.5
2024-01-18,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,54.0
2024-01-18,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,56.0
2024-01-18,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,33.0,39.0
2024-01-18,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,41.0
2024-01-18,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,39.0
2024-01-18,1,2024,Millbrook School,Wake,35.856111,-78.574167,32.0,47.0
2024-01-18,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,38.0
2024-01-18,1,2024,Rockwell,Rowan,35.551868,-80.395039,32.0,42.0
2024-01-18,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,44.0
